word,phonemes,label
pornim,start P,OH
accelerarăm,start AE K CH EH L EH R AE R,AX
copiai,start K OH P IH,AE
necăjirăți,start N,EH
respire,start R EH S,P
șarpe,start SH AE R P EH,stop
dicționarului,start D IH K IH OH,N
socializase,start S,OH
româneasca,start R,OH
preparam,start P R EH P AE R,AE
creștin,start,K
torturaseși,start T OH R T UW R AE S EH SH,stop
compar,start K OH M P AE R,stop
intrat,start IH N T,R
ginta,start G IH,N
laboare,start L AE B OH,AE
îmbunătățise,start IX,M
explicație,start EH K S P L IH K AE,IH
murat,start M UW R AE,T
pregătiseși,start P R EH G AX T,IH
doctoro,start D,OH
visai,start V IH S,AE
adoptam,start AE D OH P,T
sodomizaserăți,start S OH D OH M IH Z AE S EH,R
accelerează,start AE K CH EH L EH R EH AE Z,AX
tiran,start T IH R AE,N
protejaseră,start P R OH T EH ZH AE S EH R AX,stop
urăști,start,UW
mulțumirăm,start M UW L UW,M
oglindă,start OH G L IH,N
pornește,start P OH R,N
strungă,start S T R UW N G AX,stop
cooperase,start K OH OH P EH R,AE
mărturiseați,start M AX R T UW R IH S EH AE T,S
citise,start T SH IH T,IH
deranjată,start D,EH
hectare,start HH,EH
necăjeau,start N,EH
fracturam,start F R,AE
feței,start F EH T S EH Y,stop
testicule,start T EH S T IH K UW L,EH
elimine,start EH L,IH
șantajeze,start SH AE N T AE ZH EH,Z
armam,start AE R M AE,M
excavez,start EH K S,K
simulare,start S IH,M
misterioși,start M,IH
mișcare,start M IH SH K,AE
prea,start P R,EH
excavat,start EH K S K,AE
degerat,start D EH JH EH R AE T,stop
obrăznicie,start OH B R AX Z N IH T SH IH,EH
formaserăți,start F OH R M AE S EH R AX,stop
basca,start B AE S K,AE
fața,start F,AE
plictisiții,start P L IH K T IH,S
scrumiera,start,S
deranjasem,start,D
isus,start IH S UW S,stop
imprimam,start IH M P R,IH
turcească,start T UW R CH EH AE S K,AX
dorințele,start D OH R IH N EH,L
plictisiți,start P L IH K T IH,S
accelerăm,start AE K,CH
coniac,start K,OH
urinași,start UW R IH N,AE
genunchieră,start,D
scrie,start S,K
frumusețe,start F,R
zăpușim,start,Z
masturbau,start M AE S T UW R,B
absorbi,start AE B,S
maltratase,start M AE L T R AE T,AE
primul,start P R IH M UW,L
izraelit,start IH Z R,AE
răpiși,start R,AX
prepuțuri,start,P
neamț,start N EH AE M T S,stop
sugeai,start S UW JH EH AE Y,stop
beniamin,start B,EH
exercitai,start EH,G
augmentez,start AE UW G M EH N T EH Z,stop
gambo,start G AE M B,OH
contase,start K OH N T,AE
folosita,start F,OH
interesant,start IH N T EH R EH S AE,N
enigmatică,start EH N IH,G
băiețelul,start B AX Y EH,EH
freca,start F R,EH
mâncarăm,start M IX N K AE R AX M,stop
stric,start,S
citeau,start,T
excavarăți,start EH K S K AE V,AE
mardii,start M AE R D IH,Y
veștejiserăm,start V EH SH T EH ZH IH S EH R,AX
scrotal,start S K R OH T,AE
cuvântul,start,K
intimidat,start IH N T,IH
macabru,start M AE K AE,B
canale,start K AE N AE L,EH
sufocat,start S,UW
orientau,start,OH
narcotice,start N AE DX K OH T,IH
prieten,start,P
simbolizase,start S IH M B,OH
scrotalului,start S K,R
rusească,start R UW,S
clipe,start K L IH P EH,stop
dușmănind,start D UW SH M AX,N
gândiși,start G IX N D IH,SH
strigai,start S T,R
tatuaj,start T AE,T
spaniolește,start S P,AE
boiai,start B OH Y,AE
sfârșită,start S F,IX
fabricii,start F AE B R,IH
clădiți,start,K
nutric,start N UW T R IH K,stop
clădiserăm,start K L AX D IH S,EH
mici,start M IH,CH
oblige,start,OH
pansexualitate,start,P
mei,start M EH,Y
estimat,start EH S T IH M AE,T
delimitaserăți,start D EH L,IH
burtă,start B UW,R
benzina,start B EH N Z IH,N
repetam,start R,EH
irite,start,IH
continuase,start K OH N T IH N UW AE S EH,stop
aromân,start AE R OH M IX N,stop
deranjarăm,start D EH R AE N ZH,AE
fundamentale,start F UW,N
făcuseși,start,F
sfârșirăți,start S F IX R SH IH R AX T S,stop
sfârșiții,start,S
coșmar,start K OH SH,M
bumbac,start B,UW
persefona,start P,EH
citeați,start T,SH
întâlneai,start IX N,T
insecte,start IH N S,EH
evoluție,start EH V,OH
amarilisul,start AE M AE R IH L,IH
hamacuri,start HH,AE
citeați,start T SH IH T,Y
apocalipsul,start AE P OH K,AE
informase,start IH N,F
abandonase,start AE,B
intimidai,start IH N T,IH
întărească,start IX N T AX R EH AE S K,AX
pregătirăți,start P R EH G AX T IH R,AX
climatologa,start K L IH M AE T OH L,OH
frumoșii,start F R UW M,OH
dușmănitul,start D UW SH M AX,N
mărturisiserăți,start M AX R T UW R IH,S
luceam,start L UW CH EH AE M,stop
limită,start L IH M IH T AX,stop
conjugam,start K OH N ZH UW,G
oarecare,start,W
controlând,start,K
graniță,start G R AE,N
ejaculase,start EH ZH AE,K
misterioaselor,start M IH S T,EH
atrocitatea,start AE T R,OH
șantajelor,start SH AE N T,AE
șantaj,start SH AE N,T
pornografice,start P OH R N OH G R AE F IH,CH
rădașcă,start R AX,D
nălucea,start N AX L UW T SH,EH
întâlneam,start IX N T IX L,N
cenzuraserăm,start CH EH N Z UW,R
fuseserăți,start F UW S,EH
alterai,start AE L T EH R AE Y,stop
cerule,start CH EH R UW L EH,stop
prezervativ,start P,R
durase,start D,UW
eroticilor,start EH R,OH
comit,start K OH M,IH
orientarăți,start OH R IH EH N T AE R,AX
decapitam,start D EH K AE P,IH
anonim,start,AE
elipse,start EH L IH P S,EH
pornograficului,start P OH R N,OH
transforme,start T R AE N,S
pregătitul,start P R EH G,AX
suc,start,S
imputam,start,IH
palimpseste,start P AE L IH M P S EH S T EH,stop
asurziseră,start AE,S
abundam,start AE B UW N,D
deranjăm,start D EH R AE N ZH AX M,stop
izma,start IH Z,M
deperi,start D EH,P
bombai,start B,OH
grăbitele,start G R AX B,IH
arbore,start,AE
reduci,start R EH D UW,CH
zăpușiși,start Z AX P UW SH IH SH,stop
narcotizase,start N AE R,K
mulțumiserăți,start M UW L UW M IH,S
delicioși,start D EH,L
invadam,start IH N V AE D AE M,stop
pornografice,start P OH R N,OH
protejam,start P R OH T EH,ZH
paradoxuri,start P AE,R
justificase,start,ZH
nominalizase,start N OH M IH N AE,L
conspirase,start K OH N S,P
vomitam,start,V
norul,start N,OH
augmentat,start,AE
protejați,start P R OH,T
citită,start,CH
formară,start F OH R M AE R AX,stop
fumează,start F UW M EH AE Z,AX
mediem,start M EH D IH EH M,stop
prevesti,start P R EH V EH S T,IH
homosexuali,start HH OH M OH S,EH
frumusețile,start F R,UW
futurăm,start F UW,T
completam,start K OH M P L EH T AE M,stop
tatuăm,start T AE T UW,AX
animam,start AE N IH M AE,M
torturau,start T OH R T UW R AE,W
zăpușitului,start Z AX P UW SH IH T,UW
evlavioșii,start EH V L AE,V
justificase,start ZH UW S T IH,F
urez,start UW R EH,Z
genetica,start,JH
anatema,start AE,N
necăjea,start N EH K AX ZH EH,AE
torturează,start T OH R T UW,R
pregătiși,start P R EH G,AX
limitați,start L IH M IH T,AE
pietroi,start P,Y
fluvial,start F,L
avortat,start AE,V
copiam,start K OH P IH AE M,stop
fiindcă,start F,IH
pierdut,start P Y EH R D,UW
funcționară,start F UW N K IH OH N AE,R
soarelui,start S OH AE R EH L UW Y,stop
dicționarele,start D IH K IH OH,N
funcționaseși,start F UW N K IH OH N AE,S
puloși,start P,UW
hore,start,HH
indiscret,start IH N,D
gripă,start,G
cenzurase,start CH,EH
formule,start F,OH
misterioșilor,start M IH,S
torturaseră,start T,OH
lipsiserăm,start L IH P S,IH
formatele,start F OH,R
înzestră,start IX N Z,EH
sfânta,start S F IX N,T
efecte,start EH,F
apocalipticul,start AE P OH K AE L,IH
suedezi,start S UW EH D,EH
fabricii,start F AE B R IH CH IH,Y
apocalipsele,start AE P OH K AE L IH P S EH,L
emil,start EH,M
piloteze,start P IH L OH T AE,EH
mâncară,start M IX N K,AE
pornografică,start,P
coapse,start K OH AE P,S
purificat,start P UW R IH F IH,K
masiv,start M AE S,IH
acceptat,start,AE
arbust,start AE R B UW S,T
seducem,start S EH D,UW
obrăznicie,start OH B R AX,Z
pornograficul,start P OH R N OH G R AE F IH,K
mâncau,start,M
specificitate,start S P EH CH IH F IH CH IH,T
informatico,start IH N,F
conjugat,start K OH N ZH,UW
pizdă,start P IH Z D,AX
tatuezi,start T AE T UW EH Z,stop
oacheș,start W AE K EH,SH
caleo,start,K
utilizai,start UW T IH,L
pilotam,start P IH L OH T AE AE M,stop
mărturisite,start,M
sfârșim,start S F IX R,SH
armai,start AE R M,AE
activase,start AE K,T
călinescu,start K AX L IH N,EH
consolidase,start K OH N S,OH
gândeați,start G IX N D EH AE T,S
juisează,start ZH UW IH S EH AE Z,AX
orgastic,start OH R G AE S T,IH
vin,start V IH,N
perturbase,start P EH R T UW R B,AE
necăjiserăm,start N EH K AX ZH IH S EH R AX M,stop
părintești,start,P
pulile,start P,UW
rusesc,start R,UW
activase,start AE K T IH V AE S EH,stop
veștejitului,start V EH SH T EH,ZH
pești,start P EH SH,T
avem,start AE V EH M,stop
delimitaserăm,start D,EH
existai,start EH,G
memorizase,start M EH M,OH
asurzirăți,start AE S,UW
formule,start,F
generație,start JH EH N,EH
delimitând,start D EH,L
tentând,start T,EH
suscitat,start S UW S CH IH T AE T,stop
mărturisirăm,start M AX R T UW R IH,S
supsei,start S UW P,S
conspirai,start K OH N S P,IH
mediase,start M,EH
orientez,start OH R IH,EH
sfârșitele,start S F IX R,SH
distilase,start D IH S T IH L AE S,EH
frate,start F R,AE
legea,start,L
punem,start P UW N EH,M
perturbe,start,P
gânditele,start G IX N D IH T EH L EH,stop
trepidai,start,T
iluzoriile,start IH L UW Z OH R IH L,EH
induc,start,IH
plictisit,start P,L
fabric,start,F
accelerează,start AE K,CH
deformam,start D EH,F
sunau,start,S
folosiră,start F OH L OH S IH R AX,stop
găsească,start G AX S EH,AE
controlară,start K OH,N
trepidase,start T R EH P IH D AE S EH,stop
oaie,start,W
șoptească,start SH OH P,T
terminasem,start T EH R M IH N AE,S
orientai,start OH R,IH
șoptitul,start SH OH P T,IH
sumet,start S UW M EH,T
tentantă,start T EH N T AE,N
răpitei,start R AX P IH T EH Y,stop
dicționarelor,start D IH K IH OH N AE R EH L OH R,stop
ejaculară,start EH ZH AE K UW L AE R AX,stop
evlaviosului,start,EH
soarte,start S,OH
necăjiți,start N EH,K
gândiților,start G IX N D IH IH L OH,R
năluciseși,start N AX,L
legai,start L EH G AE Y,stop
futute,start F UW T,UW
respingi,start R EH S P IH N JH,stop
sămânță,start S,AX
regelui,start R,EH
masturbate,start M AE S T,UW
întăream,start,IX
excavez,start EH K S K AE V EH Z,stop
subjugat,start S UW,B
desperase,start,D
sacrifici,start S AE K,R
exercitat,start EH G Z EH R CH IH,T
năluceam,start N AX L UW T,SH
crispez,start K R IH S P EH,Z
excavez,start EH K S K,AE
transformat,start T R AE N S F OH R M,AE
scremi,start S K R EH M,stop
femeiește,start,F
ejaculaseși,start EH ZH AE K UW L AE S EH,SH
somnambuliști,start S OH M N AE M B UW,L
îmbunătățind,start IX M B UW N AX T AX T S,IH
burai,start,B
fumași,start F UW M AE SH,stop
cotidian,start K OH,T
insultam,start IH N,S
adoram,start AE D OH R AE,M
asurzitele,start AE S UW R Z IH T EH L,EH
linge,start,L
formarăți,start F OH R M AE R,AX
bulgărească,start B UW L G AX R,EH
înjurături,start IX N ZH UW R AX T UW,R
echidne,start EH K,IH
românescul,start R OH M IX N EH S K,UW
oficial,start OH F IH T SH,IH
calmai,start K,AE
sfârșiși,start S,F
croim,start K R OH IH M,stop
sodomizate,start S,OH
înțelege,start IX N T S EH L EH D ZH,EH
portocală,start P OH R T OH K,AE
apei,start,AE
armăsarii,start AE R M AX,S
hieno,start HH,IH
gândirăm,start,G
părintesc,start P AX,R
capitala,start,K
urinat,start UW,R
plictisisem,start P L IH K T IH S IH S,EH
copilului,start K OH P IH L,UW
limitează,start L IH,M
necăjeai,start,N
așadar,start,AE
pasteurizam,start P AE S T R IH Z,AE
harpă,start HH,AE
mâncași,start,M
cooperase,start K OH,OH
meritase,start M EH R,IH
limitasem,start L IH M IH T AE S,EH
cititul,start CH IH T IH T UW,L
dude,start D,UW
provocat,start P R OH V OH K AE,T
imprimam,start IH M P,R
amorțit,start AE M OH,R
discutam,start D IH S K UW T AE M,stop
caleo,start K AE,L
supsei,start S UW P S EH,Y
supsese,start S UW P S EH,S
harto,start,HH
diminuez,start D IH M IH N UW,EH
induc,start IH N,D
exemplului,start EH G Z EH M P L,UW
patru,start P AE,T
opri,start OH,P
dușmănitelor,start D UW SH M AX N IH,T
avivai,start AE,V
mele,start M EH,L
rece,start R EH,CH
ușilor,start UW SH IH L OH R,stop
grăbească,start G,R
iluminam,start IH L UW M IH N,AE
desfiram,start D EH,S
masturbatelor,start M AE S T UW R B AE T EH,L
hibernam,start HH IH B EH R,N
gestionat,start JH EH S,T
grăbit,start G R,AX
gândiserăm,start G IX N D IH S EH R AX,M
porniți,start P OH R N,IH
pălincă,start P AX L,IH
subjugai,start S UW B ZH UW G,AE
nălucim,start N AX L UW T SH IH M,stop
cenzurarăți,start CH EH N Z UW R AE R,AX
șantajai,start SH AE,N
inflorescență,start IH N F L OH DX EH S,T
întâlnitul,start IX N T IX L N IH T UW,L
șantajatelor,start SH AE,N
sperai,start S P EH R,AE
ejaculai,start EH,ZH
misterioși,start M IH S T EH R IH OH SH,stop
exilez,start EH G Z IH L,EH
nenorocitule,start,N
iubiserăți,start Y UW B IH S EH R AX,stop
masat,start M AE S,AE
deranjau,start D EH R AE,N
bazam,start,B
minusculi,start M IH N UW S K,UW
franceză,start F,R
spovediții,start S P OH V,EH
neîmbunătățit,start N EH IX M B,UW
înzestrată,start IX N Z EH S T R AE T AX,stop
babe,start B AE B EH,stop
comandase,start K OH M,AE
suflet,start S,UW
prietenește,start P R IH EH T EH N EH,SH
focile,start F OH CH IH L EH,stop
somnambulist,start S OH M N AE M B,UW
scuzi,start S K UW,Z
argumentase,start AE R G UW M EH,N
capsase,start K AE P S,AE
abandoneze,start,AE
congelase,start K OH N JH EH L AE S EH,stop
electroconductibilitate,start EH L EH K T R OH K OH N D UW K T IH B IH L,IH
știe,start SH T,IH
matematică,start M AE T EH M AE T IH K AX,stop
moi,start M OH Y,stop
tastatură,start T AE,S
spoveditele,start S,P
neglijez,start N EH G,L
rele,start R,EH
implicai,start IH M P L,IH
dușmănit,start D UW SH M AX N IH,T
dezavantajos,start D EH,Z
plecam,start P L EH,K
flame,start F L AE,M
viețile,start V Y EH T S IH,L
nemilă,start N EH M IH,L
numească,start N UW M,EH
promisiune,start P R OH,M
lipsiseră,start L IH P S,IH
indignam,start IH N,D
curam,start K UW R,AE
plictisitelor,start P L IH K T IH S IH,T
folositului,start F OH L OH S IH T UW L UW Y,stop
cenzurez,start CH EH N Z UW,R
americance,start AE M EH DX,IH
accelerați,start AE K CH EH L,EH
căprior,start K AX P,R
vedem,start,V
șoptiților,start SH,OH
protejasem,start P R,OH
custase,start K UW S T AE,S
ție,start T,S
prezervativele,start P R EH Z EH R V AE T IH V EH,L
ceai,start,T
îmbunătățiții,start IX M B UW N,AX
resursă,start R EH S,UW
fato,start F AE T OH,stop
găsirăți,start G AX,S
bifurcai,start B IH F UW,R
perete,start P EH R EH T,EH
respirat,start R EH,S
cadavrelor,start,K
bărbie,start B AX,R
anatemelor,start AE N AE T EH M EH,L
lubrifie,start L UW B R IH,F
administrai,start AE D M IH,N
întâlnitele,start IX,N
pulsam,start P UW L S AE,M
masase,start M AE S AE S,EH
frumoasei,start F R UW M OH AE S EH Y,stop
masturbarăm,start M AE S T,UW
formulei,start F,OH
canonise,start,K
apocaliptici,start AE,P
fute,start,F
neîmbunătățit,start N,EH
românescul,start R OH M IX,N
frecară,start F R,EH
creând,start K R EH,IX
rectificat,start R EH K T IH F IH,K
genetico,start JH EH N EH T IH K,OH
decapitam,start D EH K,AE
formași,start F OH R M,AE
pregătitelor,start P R EH G AX T,IH
pice,start P,IH
privatizam,start P R,IH
sângeros,start S IX N,JH
sodomizaserăm,start S OH D OH M IH Z AE S EH R AX M,stop
spovedeai,start S P OH V EH D Y,AE
confunde,start K OH N F UW N D EH,stop
penă,start P EH N,AX
sodomizații,start S OH D OH M IH Z AE,IH
orientai,start OH R IH EH N T AE,Y
sălbatic,start S AX L B AE,T
slovenele,start S L OH V,EH
apetisant,start,AE
trip,start T,R
degeram,start D EH JH EH,R
crucificam,start K R UW CH,IH
onestitate,start OH N EH S T IH T AE T,EH
botanico,start B OH T AE N IH,K
sparse,start S P AE R S EH,stop
biomasa,start B,IH
acestor,start AE CH EH,S
îmbunătățiră,start IX M B UW N AX T AX T,S
stimuli,start S T IH M UW,L
jos,start ZH,OH
scrot,start S K R,OH
numind,start N UW M IH N D,stop
doctore,start D OH K T,OH
fildeș,start F,IH
dace,start D AE CH EH,stop
crispase,start K,R
conspiri,start K OH N S P,IH
distrasem,start D,IH
creeze,start K R,EH
delimitat,start D EH L IH M IH,T
torturarăți,start T,OH
electroconductibilitate,start EH L EH K T R OH K OH N D UW K T IH,B
reduci,start R,EH
punem,start,P
aligator,start AE L IH G AE T OH,R
ejacularăți,start EH ZH AE,K
spectru,start S P EH K,T
gazam,start G AE Z AE,M
ventilase,start V EH,N
acestei,start AE CH EH S,T
clădi,start K L AX D IH,stop
șoptim,start SH OH P T IH,M
razi,start R AE Z,stop
profesoară,start P R OH F EH S OH AE R,AX
ejaculație,start EH ZH AE,K
pornografie,start P OH R N OH G R,AE
pungă,start P UW N G,AX
aplicam,start AE P L IH K,AE
frontiere,start F R OH N T IH,EH
sodomit,start,S
mărturisiților,start M AX R T UW,R
grăbiseși,start G R,AX
protejeze,start,P
năluceai,start N AX,L
lingi,start L IH N D ZH,stop
șoptite,start SH OH P T,IH
concretizase,start K OH N K R EH T IH,Z
întristaseră,start IX,N
gazez,start,G
controlaserăm,start K OH N T R OH L AE,S
copii,start K OH P,IH
armăsarului,start,AE
fapt,start,F
mutai,start M UW T,AE
conspiram,start K OH,N
anonima,start AE N OH,N
mulțumind,start M UW,L
comunicase,start K OH M UW N IH,K
procedat,start P,R
determinai,start D EH T EH R M IH N AE,Y
pregătiții,start P R EH G AX T,IH
tentante,start T EH N T AE N T,EH
drăgălaș,start D R,AX
vampir,start V AE M P IH,R
activez,start AE K T IH V EH,Z
asurzeam,start AE S UW R Z Y,AE
primită,start P R IH M IH,T
nălucind,start N AX L UW T SH,IH
acceleraseși,start AE K CH EH L EH R AE S,EH
veștejească,start V EH SH T EH ZH EH AE S K AX,stop
beijing,start B EH Y ZH IH NG,stop
libertate,start L IH B EH R T,AE
abandonăm,start AE B AE,N
pese,start P,EH
șantajă,start SH AE N T AE ZH,AX
șarpe,start SH AE R,P
designai,start D EH S IH G,N
deranjarăm,start D EH R AE N ZH AE R AX M,stop
oprești,start OH P,R
fistulo,start F IH S T UW L OH,stop
aram,start,AE
creezi,start K R EH EH,Z
renovase,start R EH N OH V,AE
tune,start T,UW
grifoni,start G R IH F OH,N
biofizică,start B IH OH F IH Z IH,K
bărbații,start B,AX
masturbau,start M AE S T,UW
pasteurizam,start P AE S T,R
funcționează,start F UW N K IH OH,N
circumcide,start CH IH R K,UW
apocalipse,start AE P OH K AE L IH P S EH,stop
călătoreau,start K AX L AX,T
dușmănea,start D UW SH M AX N,Y
abandonam,start AE B AE N D OH N AE,M
îmbunătățește,start IX,M
scrotalul,start S K R OH T AE,L
mărturisesc,start M AX R T UW R IH,S
pornograficii,start P OH R N OH G R AE,F
prepuț,start P,R
întăritei,start,IX
orientarăm,start,OH
industrializam,start IH,N
șantajarăm,start SH AE N T AE ZH AE R AX,M
biserică,start B IH S EH R IH K AX,stop
sunetelor,start S UW N EH T EH L OH R,stop
nălucitul,start N AX L UW CH,IH
acumulam,start AE K UW M UW L AE,M
elipso,start,EH
accelerație,start,AE
catalonia,start,K
cerere,start CH EH R EH R EH,stop
apocalipsului,start AE,P
macabrul,start M AE,K
asurzește,start,AE
întristaserăm,start IX N T R IH S T AE S EH R,AX
cheie,start K EH Y EH,stop
abandonarăm,start AE B AE N D OH N AE R AX M,stop
umanitate,start UW,M
greve,start G,R
deliberat,start D EH L IH B EH R AE,T
produce,start P,R
neutre,start N EH,UW
bicicleta,start,B
pederastie,start P EH D EH R AE,S
lingurilor,start L IH NG G UW R IH,L
despicase,start D EH S P IH K AE S EH,stop
perfectaseră,start P EH R F EH K,T
sau,start S,AE
glezna,start G L EH,Z
fututelor,start F UW T UW T EH L OH R,stop
cumnate,start K UW M N AE T EH,stop
sodomiza,start S OH D OH M IH,Z
dormitai,start D OH R M IH T AE,Y
tentasem,start T EH N T AE S EH,M
tatueze,start,T
întâlneați,start IX N T IX L N EH AE T,S
adunai,start AE D,UW
furnică,start F UW,R
aerai,start AE EH R AE Y,stop
disponibilitate,start D IH S P OH N,IH
făcuseși,start F,AX
futută,start,F
dominam,start D OH M IH N AE,M
masam,start M AE S AE,M
îmbunătățitele,start IX M B UW N,AX
perfectând,start P,EH
circulase,start CH IH R K UW L AE S EH,stop
perfectasem,start P EH R F EH K T AE S EH M,stop
culturalizase,start K UW L T UW R AE L IH,Z
supsesem,start S UW P S,EH
fraternității,start F R AE T EH R N IH T AX,IH
gândești,start G IX N D EH,SH
capitale,start K AE P IH T AE L EH,stop
respir,start R EH S,P
cenzurează,start CH EH,N
provocat,start P R OH V OH,K
ejaculând,start,EH
tratase,start T R AE T AE S EH,stop
modifica,start M OH,D
botanico,start B OH T AE N IH K OH,stop
liberam,start L IH B,EH
șantajatelor,start SH AE N T AE ZH AE T,EH
plictisirăm,start P L IH K T IH S IH,R
nemort,start N EH M,OH
întristarăm,start IX N T R IH S T,AE
formele,start F,OH
spovedeau,start S P OH V EH D,Y
intui,start,IH
anexase,start AE N EH K S AE S,EH
dicționarul,start D IH K IH,OH
masturbatul,start M AE S,T
complexități,start OH M P L,EH
vorbești,start V OH R B EH SH,T
rog,start R OH,G
tari,start,T
computat,start K OH M P UW T AE,T
preparai,start P R EH P AE R AE Y,stop
cheie,start,K
pretutindeni,start P R EH T UW T IH N D EH N,stop
năluciseră,start N AX L,UW
mărturisiși,start M AX R T UW R IH S IH SH,stop
eliminam,start EH L,IH
pornografii,start P,OH
ventilez,start V EH N T IH L,EH
pornografici,start P OH R N OH G R AE F IH,CH
abil,start AE B IH,L
stimulau,start S,T
ataca,start AE T AE,K
necăjească,start N EH K AX,ZH
fiori,start F IH OH,R
stimulezi,start S T IH M UW L,EH
limită,start L IH,M
ejaculăm,start EH ZH AE K UW L AX,M
funcționași,start F UW N K IH,OH
multiplicase,start M UW L T IH P L IH,K
homosexualele,start HH OH M OH S EH K S UW AE L EH,L
bateri,start B AE,T
cules,start K UW L EH,S
sfârșitul,start S F IX R SH IH T,UW
neerlandeză,start N EH EH R,L
îmbunătățiserăm,start IX M B UW N AX T AX T S IH S,EH
mingi,start M,IH
numise,start N UW M IH S,EH
românești,start R OH M IX N EH SH,T
acumulai,start AE K,UW
